aggregated	self	category	text
99.22%	0.00%	1	bf	the mountains
99.22%	0.00%	1	ba	tell me mumblex
99.22%	0.00%	1	b^m	urine screen
99.23%	0.00%	1	ba	all right great
99.23%	0.00%	1	b^m	twenty-seven
99.23%	0.00%	1	ba	it sounds pretty good
99.23%	0.00%	1	ba	i see uh
99.23%	0.00%	1	b^m	my green beans
99.24%	0.00%	1	bf	continuance
99.24%	0.00%	1	ba	probably so
99.24%	0.00%	1	ba	god that 's cheap
99.24%	0.00%	1	b^m	stay
99.25%	0.00%	1	bf	to sell the refrigerator
99.25%	0.00%	1	b	does that
99.25%	0.00%	1	bf	everybody but you
99.25%	0.00%	1	ba	god forbid
99.25%	0.00%	1	b	man
99.26%	0.00%	1	br	horses
99.26%	0.00%	1	b^m	not quite huh
99.26%	0.00%	1	ba	it 's incredible
99.26%	0.00%	1	ba	they are really good
99.27%	0.00%	1	ba	th- co-
99.27%	0.00%	1	ba	oh good luck
99.27%	0.00%	1	b	accessories
99.27%	0.00%	1	b	um right
99.27%	0.00%	1	bf	oh on a lake
99.28%	0.00%	1	b^m	e d p
99.28%	0.00%	1	bf	they 're thick
99.28%	0.00%	1	b	two girls
99.28%	0.00%	1	ba	exactly and th-
99.28%	0.00%	1	b	oh you did n't
99.29%	0.00%	1	bk	oh you have children
99.29%	0.00%	1	bf	two babies
99.29%	0.00%	1	ba	and good luck
99.29%	0.00%	1	ba	oh it 's good
99.30%	0.00%	1	br	tahiti
99.30%	0.00%	1	bf	pardon
99.30%	0.00%	1	bf	a full time camper
99.30%	0.00%	1	bh	uh-huh
99.30%	0.00%	1	ba	oh that sounds fantastic
99.31%	0.00%	1	bh	does he ooh
99.31%	0.00%	1	ba	that works
99.31%	0.00%	1	ba	yes ma'am
99.31%	0.00%	1	b	okay mumblex
99.32%	0.00%	1	b^m	frank e
99.32%	0.00%	1	b^m	no more huh
99.32%	0.00%	1	bf	you are too tired
99.32%	0.00%	1	bf	so the
99.32%	0.00%	1	b^m	flower mound
99.33%	0.00%	1	b	food
99.33%	0.00%	1	b^m	a soprano
99.33%	0.00%	1	b^m	wal-mart
99.33%	0.00%	1	bf	only work initially
99.33%	0.00%	1	b	and watch
99.34%	0.00%	1	ba	oh it does
99.34%	0.00%	1	b^m	privacy
99.34%	0.00%	1	ba	and they are great
99.34%	0.00%	1	ba	really bad
99.35%	0.00%	1	ba	uh ha
99.35%	0.00%	1	b	mumblex oh
99.35%	0.00%	1	b	in biographies
99.35%	0.00%	1	b^m	two ninety-eight a pound
99.35%	0.00%	1	ba	i understand uh
99.36%	0.00%	1	b	right you know
99.36%	0.00%	1	ba	groovy
99.36%	0.00%	1	ba	that 's pretty neat
99.36%	0.00%	1	br	the never ending story
99.37%	0.00%	1	ba	understand
99.37%	0.00%	1	ba	it sounds wonderful
99.37%	0.00%	1	b^m	kilgore
99.37%	0.00%	1	b^m	just eight years
99.37%	0.00%	1	b	yay
99.38%	0.00%	1	ba	that 's so true
99.38%	0.00%	1	br	where am i
99.38%	0.00%	1	b	i
99.38%	0.00%	1	br	what was that
99.38%	0.00%	1	br	uh
99.39%	0.00%	1	b^m	pretty close
99.39%	0.00%	1	bk	oh sh-
99.39%	0.00%	1	b	yes oh
99.39%	0.00%	1	b	is n't that
99.40%	0.00%	1	b^m	gumbo
99.40%	0.00%	1	ba	that 's real rough
99.40%	0.00%	1	bf	delivery room and everything
99.40%	0.00%	1	ba	to bad huh
99.40%	0.00%	1	bh	blue
99.41%	0.00%	1	ba	oh wow gosh
99.41%	0.00%	1	bf	kiss some butt
99.41%	0.00%	1	bd	oh that does happen
99.41%	0.00%	1	b^m	mitzi
99.42%	0.00%	1	ba	i think that 's
99.42%	0.00%	1	ba	is n't that funny
99.42%	0.00%	1	b^m	white
99.42%	0.00%	1	bf	catching tree bass
99.42%	0.00%	1	b^m	she 's perfect
99.43%	0.00%	1	ba	wow that 's large
99.43%	0.00%	1	bd	not not
99.43%	0.00%	1	b^m	okay um
99.43%	0.00%	1	bf	to to fool people
99.43%	0.00%	1	ba	by all means
99.44%	0.00%	1	bk	okay um
99.44%	0.00%	1	b^m	uh ha
99.44%	0.00%	1	b^m	takes a long time
99.44%	0.00%	1	b^m	exterior
99.45%	0.00%	1	bh	oh did you really
99.45%	0.00%	1	ba	oh that 's terrific
99.45%	0.00%	1	b^m	this is college
99.45%	0.00%	1	b^m	ithaca
99.45%	0.00%	1	br	oh oh excuse me
99.46%	0.00%	1	bf	fifteen years
99.46%	0.00%	1	bd	you 're okay
99.46%	0.00%	1	br	service charge you mean
99.46%	0.00%	1	bf	word processing
99.47%	0.00%	1	bf	isometrics stuff like that
99.47%	0.00%	1	ba	pretty sad
99.47%	0.00%	1	bf	the cajuns
99.47%	0.00%	1	b	huh prime air
99.47%	0.00%	1	br	thirty or younger
99.48%	0.00%	1	ba	ooh how great
99.48%	0.00%	1	bd	learning
99.48%	0.00%	1	b^m	and do the dishes
99.48%	0.00%	1	ba	that 's frightening too
99.48%	0.00%	1	ba	no problems
99.49%	0.00%	1	ba	i understand that totally
99.49%	0.00%	1	b^m	in richardson
99.49%	0.00%	1	br	detroit
99.49%	0.00%	1	b^m	free
99.50%	0.00%	1	b^m	two pounds
99.50%	0.00%	1	ba	oh how sweet
99.50%	0.00%	1	bh	do you really not
99.50%	0.00%	1	b^m	bonus
99.50%	0.00%	1	b	uh-huh uh-huh
99.51%	0.00%	1	bh	wow eight kids
99.51%	0.00%	1	br	the ones that what
99.51%	0.00%	1	ba	much stronger
99.51%	0.00%	1	br	target stores
99.52%	0.00%	1	ba	it 'd be nice
99.52%	0.00%	1	b^m	arkansas
99.52%	0.00%	1	bf	when they 're young
99.52%	0.00%	1	ba	uh gee
99.52%	0.00%	1	bk	oh okay uh
99.53%	0.00%	1	bf	the defect
99.53%	0.00%	1	ba	well jeez
99.53%	0.00%	1	b	oh alright
99.53%	0.00%	1	b^m	ten years
99.53%	0.00%	1	b	does he
99.54%	0.00%	1	bf	so that was it
99.54%	0.00%	1	b	that bad huh
99.54%	0.00%	1	ba	but my goodness
99.54%	0.00%	1	bh	do you ski
99.55%	0.00%	1	b^m	five and two
99.55%	0.00%	1	b	oh o-
99.55%	0.00%	1	b^m	a hundred and sixty
99.55%	0.00%	1	b	so oh well
99.55%	0.00%	1	b^m	wild flowers
99.56%	0.00%	1	bf	oh he does n't
99.56%	0.00%	1	ba	oh that 's awful
99.56%	0.00%	1	b^m	and the skunk
99.56%	0.00%	1	ba	well that 's unusual
99.57%	0.00%	1	bf	after you retire
99.57%	0.00%	1	ba	that was so cool
99.57%	0.00%	1	b^m	garland texas
99.57%	0.00%	1	bf	sweating to the oldies
99.57%	0.00%	1	b^m	three
99.58%	0.00%	1	br	five dollars a call
99.58%	0.00%	1	ba	goodness i 'm surprised
99.58%	0.00%	1	bf	no
99.58%	0.00%	1	ba	well it 's helpful
99.58%	0.00%	1	ba	that 's great um
99.59%	0.00%	1	b	your dress
99.59%	0.00%	1	b	oh is that right
99.59%	0.00%	1	b	u- uh-huh
99.59%	0.00%	1	ba	that is awful
99.60%	0.00%	1	b	that
99.60%	0.00%	1	ba	oh that makes sense
99.60%	0.00%	1	bf	hard
99.60%	0.00%	1	ba	oh what a mess
99.60%	0.00%	1	b	did
99.61%	0.00%	1	bd	oh you 're not
99.61%	0.00%	1	ba	oh you 're lucky
99.61%	0.00%	1	ba	oh my um
99.61%	0.00%	1	b	and uh yep
99.62%	0.00%	1	ba	oh but how wonderful
99.62%	0.00%	1	b	um -kay
99.62%	0.00%	1	bh	oh does she really
99.62%	0.00%	1	ba	oh it sounds good
99.62%	0.00%	1	ba	holy cow
99.63%	0.00%	1	b^m	it is temporary
99.63%	0.00%	1	b^m	choirs
99.63%	0.00%	1	ba	that will happen
99.63%	0.00%	1	b^m	a government
99.63%	0.00%	1	ba	nowhere near that expensive
99.64%	0.00%	1	br	heavenly
99.64%	0.00%	1	ba	geez
99.64%	0.00%	1	ba	sure is
99.64%	0.00%	1	b	kind of
99.65%	0.00%	1	b^m	mission impossible
99.65%	0.00%	1	b	and and yeah
99.65%	0.00%	1	ba	for heaven 's sake
99.65%	0.00%	1	ba	i bet you do
99.65%	0.00%	1	bk	hm okay
99.66%	0.00%	1	b^m	h o i
99.66%	0.00%	1	bf	a really good effort
99.66%	0.00%	1	ba	and that 's
99.66%	0.00%	1	b^m	agree
99.67%	0.00%	1	ba	well very good
99.67%	0.00%	1	b^m	caddo lake
99.67%	0.00%	1	ba	fantastic uh
99.67%	0.00%	1	ba	e-
99.67%	0.00%	1	ba	oh i understand that
99.68%	0.00%	1	ba	is n't that interesting
99.68%	0.00%	1	bf	at least
99.68%	0.00%	1	bf	too transit
99.68%	0.00%	1	ba	that 's really wonderful
99.68%	0.00%	1	b	in their own community
99.69%	0.00%	1	ba	that 's encouraging
99.69%	0.00%	1	b	up here
99.69%	0.00%	1	b^m	no thanks
99.69%	0.00%	1	ba	oh that poor child
99.70%	0.00%	1	ba	well that 's fascinating
99.70%	0.00%	1	b^m	oh upstate
99.70%	0.00%	1	bf	did n't he though
99.70%	0.00%	1	b^m	for the machine
99.70%	0.00%	1	ba	that 's sorry
99.71%	0.00%	1	b^m	you 're crazy
99.71%	0.00%	1	ba	it 's real pretty
99.71%	0.00%	1	ba	wow that 's excellent
99.71%	0.00%	1	b	and uh well yeah
99.72%	0.00%	1	b^m	oh hybrid teas
99.72%	0.00%	1	ba	it 's funny
99.72%	0.00%	1	bh	he was in that
99.72%	0.00%	1	bf	if it 's a
99.72%	0.00%	1	b	ri-
99.73%	0.00%	1	ba	it will
99.73%	0.00%	1	b	oh i know
99.73%	0.00%	1	ba	oh god i 've
99.73%	0.00%	1	ba	do n't blame you
99.73%	0.00%	1	b	hit the bags
99.74%	0.00%	1	bh	it does n't
99.74%	0.00%	1	bf	getting in
99.74%	0.00%	1	b^m	new hampshire
99.74%	0.00%	1	br	of hyacinths
99.75%	0.00%	1	bf	warm rain
99.75%	0.00%	1	ba	very much
99.75%	0.00%	1	bh	is n't that true
99.75%	0.00%	1	b^m	off and on
99.75%	0.00%	1	ba	gosh anyway
99.76%	0.00%	1	b^m	he got sick
99.76%	0.00%	1	bh	an- oh really
99.76%	0.00%	1	ba	well that sounds adventuresome
99.76%	0.00%	1	b	hopkins
99.77%	0.00%	1	ba	well that 's it
99.77%	0.00%	1	b	yellow peppers huh
99.77%	0.00%	1	ba	really wow
99.77%	0.00%	1	b	you think
99.77%	0.00%	1	b^m	weather-wise
99.78%	0.00%	1	ba	i know uh
99.78%	0.00%	1	b^m	very much
99.78%	0.00%	1	bf	you all are cramped
99.78%	0.00%	1	b	correct
99.78%	0.00%	1	b	maybe
99.79%	0.00%	1	ba	doing it
99.79%	0.00%	1	bd	and that 's normal
99.79%	0.00%	1	ba	how sad
99.79%	0.00%	1	ba	how wonderful
99.80%	0.00%	1	bd	i just left it
99.80%	0.00%	1	b^m	the eagles
99.80%	0.00%	1	br	what hockey
99.80%	0.00%	1	br	i beg you pardon
99.80%	0.00%	1	bf	it would
99.81%	0.00%	1	b^m	pink
99.81%	0.00%	1	bk	okay oh
99.81%	0.00%	1	b	i guess yeah
99.81%	0.00%	1	b	knife
99.82%	0.00%	1	ba	oh that 's super
99.82%	0.00%	1	ba	that 's pretty excellent
99.82%	0.00%	1	ba	and ugh
99.82%	0.00%	1	b	yea-
99.82%	0.00%	1	ba	that will be interesting
99.83%	0.00%	1	bh	is that
99.83%	0.00%	1	b	so really
99.83%	0.00%	1	b^m	thirty-three
99.83%	0.00%	1	bk	w- yeah
99.83%	0.00%	1	bd	well i guess
99.84%	0.00%	1	ba	oh that 's fantastic
99.84%	0.00%	1	bf	in other words
99.84%	0.00%	1	ba	oh oh goody
99.84%	0.00%	1	bf	they 're pretty young
99.85%	0.00%	1	b^m	about eight years
99.85%	0.00%	1	bf	relax
99.85%	0.00%	1	b	oh my
99.85%	0.00%	1	bf	that 'll come
99.85%	0.00%	1	br	purple buddy
99.86%	0.00%	1	ba	sure is neat
99.86%	0.00%	1	b^m	frank e peretti
99.86%	0.00%	1	bh	with cash
99.86%	0.00%	1	bf	that 's when they
99.87%	0.00%	1	b^m	money instead
99.87%	0.00%	1	b^m	johnny elway
99.87%	0.00%	1	b	oh i hear
99.87%	0.00%	1	bf	against your will
99.87%	0.00%	1	b	so
99.88%	0.00%	1	b^m	for southwest
99.88%	0.00%	1	ba	that is odd
99.88%	0.00%	1	bk	i see uh
99.88%	0.00%	1	bh	you did n't
99.88%	0.00%	1	ba	wow huh
99.89%	0.00%	1	ba	oh how beautiful
99.89%	0.00%	1	bf	oh something
99.89%	0.00%	1	ba	that would be good
99.89%	0.00%	1	ba	and gee you know
99.90%	0.00%	1	b	oh uh yeah
99.90%	0.00%	1	b^m	the union
99.90%	0.00%	1	b^m	new jersey
99.90%	0.00%	1	b	some place else
99.90%	0.00%	1	bh	do you think
99.91%	0.00%	1	ba	that is incredible
99.91%	0.00%	1	b^m	for two
99.91%	0.00%	1	ba	oh those are nice
99.91%	0.00%	1	ba	that 's really wild
99.92%	0.00%	1	ba	oh incredible
99.92%	0.00%	1	b^m	five minutes oh okay
99.92%	0.00%	1	ba	well gee
99.92%	0.00%	1	bf	just started shooting people
99.92%	0.00%	1	b^m	work ethics oh
99.93%	0.00%	1	br	newspapers
99.93%	0.00%	1	b^m	rather frugal
99.93%	0.00%	1	b	just pets
99.93%	0.00%	1	bf	all done in advance
99.93%	0.00%	1	b^m	and two bi-
99.94%	0.00%	1	bf	pork barrel politics
99.94%	0.00%	1	bk	you did
99.94%	0.00%	1	bf	eerie feeling
99.94%	0.00%	1	b^m	free ice cream
99.95%	0.00%	1	bk	oh mumblex
99.95%	0.00%	1	bf	moved from
99.95%	0.00%	1	bh	oh he does
99.95%	0.00%	1	ba	real good idea
99.95%	0.00%	1	bf	based on fact
99.96%	0.00%	1	b	oh did you
99.96%	0.00%	1	b	yes uh
99.96%	0.00%	1	ba	basically that 's it
99.96%	0.00%	1	ba	cute
99.97%	0.00%	1	bh	oh have they
99.97%	0.00%	1	ba	thank god
99.97%	0.00%	1	b	w- w- well yeah
99.97%	0.00%	1	br	every what
99.97%	0.00%	1	b^m	home cooked tex-mex
99.98%	0.00%	1	ba	there 's great
99.98%	0.00%	1	b^m	the me decade
99.98%	0.00%	1	bf	easiest way out maybe
99.98%	0.00%	1	ba	that 'll be great
99.98%	0.00%	1	bk	okay bill
99.99%	0.00%	1	b	oh does
99.99%	0.00%	1	b	striper
99.99%	0.00%	1	ba	eventually right
99.99%	0.00%	1	ba	i bet it is
100.00%	0.00%	1	b^m	jack
100.00%	0.00%	1	bf	many years
100.00%	0.00%	1	ba	is n't it amazing
