aggregated	self	category	text
95.99%	0.00%	1	ba	well see that 's it
95.99%	0.00%	1	b^m	teen
95.99%	0.00%	1	b^m	oh north dallas
95.99%	0.00%	1	bh	oh how about that
96.00%	0.00%	1	b^m	four weeks
96.00%	0.00%	1	b^m	linda
96.00%	0.00%	1	ba	that 's rather interesting
96.00%	0.00%	1	br	you must be what
96.01%	0.00%	1	ba	so it 's real neat
96.01%	0.00%	1	bh	blue
96.01%	0.00%	1	bf	pretax insurance
96.01%	0.00%	1	ba	that 's probably the safer way
96.01%	0.00%	1	ba	that 's great too
96.02%	0.00%	1	br	dye mound
96.02%	0.00%	1	b	no uh
96.02%	0.00%	1	ba	well that did a lot of good
96.02%	0.00%	1	ba	ooh yes
96.02%	0.00%	1	b	and so yeah
96.03%	0.00%	1	ba	well that 's that 's really good
96.03%	0.00%	1	ba	that 's a that 's quite a concept
96.03%	0.00%	1	bf	not as independence
96.03%	0.00%	1	bf	and she devotes
96.03%	0.00%	1	ba	that 'd work for me
96.04%	0.00%	1	b^m	two and two
96.04%	0.00%	1	bf	goodness it must be a little bit cold
96.04%	0.00%	1	bf	you would like to know what they 're doing right
96.04%	0.00%	1	b^m	is that on tape
96.05%	0.00%	1	ba	that 's a thought
96.05%	0.00%	1	bf	it was just a side benefit
96.05%	0.00%	1	b^m	dukakis
96.05%	0.00%	1	bf	sometimes it 's a have to
96.05%	0.00%	1	br	um i 'm sorry what
96.06%	0.00%	1	br	why did i pick music
96.06%	0.00%	1	bf	they knew they knew the extras or the
96.06%	0.00%	1	bf	a blessing in disguise
96.06%	0.00%	1	b	that 's how it is
96.06%	0.00%	1	bh	a switcheroo huh
96.07%	0.00%	1	ba	i i understand that
96.07%	0.00%	1	bf	eerie feeling
96.07%	0.00%	1	ba	but gee
96.07%	0.00%	1	bf	eight point five
96.07%	0.00%	1	ba	my god
96.08%	0.00%	1	ba	i can believe
96.08%	0.00%	1	bk	two
96.08%	0.00%	1	b^m	two years
96.08%	0.00%	1	ba	is n't that funny
96.09%	0.00%	1	ba	oh ho-ho
96.09%	0.00%	1	b	but i mean yeah
96.09%	0.00%	1	bf	and you listen to the oldies
96.09%	0.00%	1	b	no um
96.09%	0.00%	1	b^m	oh you 've never been camping
96.10%	0.00%	1	bf	so then you had to
96.10%	0.00%	1	bf	get a real job full time
96.10%	0.00%	1	b	probably
96.10%	0.00%	1	ba	that 's kind of an odd thing
96.10%	0.00%	1	ba	wow that 's rough
96.11%	0.00%	1	bk	oh oh oh okay
96.11%	0.00%	1	ba	thank god
96.11%	0.00%	1	b^m	it depends
96.11%	0.00%	1	bf	earlier things
96.11%	0.00%	1	br	because it 's what
96.12%	0.00%	1	b	oh they are
96.12%	0.00%	1	ba	that 's important
96.12%	0.00%	1	b^m	work ethics oh
96.12%	0.00%	1	bf	the cajuns
96.13%	0.00%	1	br	what what 's my motivation
96.13%	0.00%	1	bh	is that
96.13%	0.00%	1	br	galveston
96.13%	0.00%	1	br	more lax
96.13%	0.00%	1	b^m	sixty eighty
96.14%	0.00%	1	ba	is n't that interesting
96.14%	0.00%	1	bf	it 's
96.14%	0.00%	1	b	australia
96.14%	0.00%	1	bf	but it was still running
96.14%	0.00%	1	bh	three
96.15%	0.00%	1	b	really you know
96.15%	0.00%	1	bf	so it 's a good workout
96.15%	0.00%	1	ba	well now that 's a thought
96.15%	0.00%	1	ba	well that 's understandable
96.15%	0.00%	1	ba	oh gracious
96.16%	0.00%	1	bf	word processing
96.16%	0.00%	1	br	of hyacinths
96.16%	0.00%	1	br	the accuracy
96.16%	0.00%	1	ba	oh booey
96.17%	0.00%	1	bf	so it 's it 's more like living with a big in a big house where it 's your turn to to set the table like you 're saying or whatever
96.17%	0.00%	1	bf	ther- there 's a lot of work to be done
96.17%	0.00%	1	b^m	sesame seeds and bread crumbs
96.17%	0.00%	1	ba	eventually right
96.17%	0.00%	1	ba	not after wor-
96.18%	0.00%	1	b^m	just one
96.18%	0.00%	1	ba	so you 're right
96.18%	0.00%	1	b^m	in science
96.18%	0.00%	1	ba	uh that 's a bad one
96.18%	0.00%	1	bf	it 's just taking it out right
96.19%	0.00%	1	bf	did n't he though
96.19%	0.00%	1	b^m	potential
96.19%	0.00%	1	b	oh did n't you
96.19%	0.00%	1	b^m	forty-eight
96.19%	0.00%	1	br	what for
96.20%	0.00%	1	b	all righty
96.20%	0.00%	1	b^m	die
96.20%	0.00%	1	bd	just just enough to get by
96.20%	0.00%	1	b	i
96.21%	0.00%	1	ba	real good idea
96.21%	0.00%	1	br	in tak
96.21%	0.00%	1	ba	that 's pretty awesome too
96.21%	0.00%	1	bf	oh chris xeros
96.21%	0.00%	1	ba	that 's that 's neat
96.22%	0.00%	1	b	uh-huh you know
96.22%	0.00%	1	ba	and good luck
96.22%	0.00%	1	ba	oh god it sounds like i would
96.22%	0.00%	1	b^m	he got sick
96.22%	0.00%	1	ba	that was good
96.23%	0.00%	1	bf	does n't want to change
96.23%	0.00%	1	bf	and this is what it took finally
96.23%	0.00%	1	bf	it was the big one
96.23%	0.00%	1	bh	do n't you
96.23%	0.00%	1	bf	all worked out all right huh
96.24%	0.00%	1	bh	you know what i mean
96.24%	0.00%	1	bf	you ca n't do it year round
96.24%	0.00%	1	b^m	the most expensive
96.24%	0.00%	1	bf	proper interface
96.25%	0.00%	1	b^m	three and a two year old
96.25%	0.00%	1	ba	how cute
96.25%	0.00%	1	ba	oh it does
96.25%	0.00%	1	bd	well it 's my dad 's
96.25%	0.00%	1	ba	i i could see you could see why
96.26%	0.00%	1	b	that 's great
96.26%	0.00%	1	b	the other world
96.26%	0.00%	1	ba	oh well that 's neat that you like cross-stitching also
96.26%	0.00%	1	ba	we know how that goes
96.26%	0.00%	1	b	w- w- well yeah
96.27%	0.00%	1	bf	but she still has uh a security there
96.27%	0.00%	1	br	um the ones that look like brick houses
96.27%	0.00%	1	bf	all part of a good old boy network
96.27%	0.00%	1	bh	you did n't
96.27%	0.00%	1	ba	i did n't realize that
96.28%	0.00%	1	ba	oh that is fun
96.28%	0.00%	1	bh	you have n't
96.28%	0.00%	1	bf	sure that makes a big crowd
96.28%	0.00%	1	bf	so that really has a lot of meaning for you to see that
96.29%	0.00%	1	b	but um
96.29%	0.00%	1	bf	oh so you are a disgruntled graduate student
96.29%	0.00%	1	br	that 's what you 're saying
96.29%	0.00%	1	ba	see i think that 's wonderful
96.29%	0.00%	1	ba	how strange
96.30%	0.00%	1	b	i know it
96.30%	0.00%	1	ba	you better believe it
96.30%	0.00%	1	ba	oh that would be fun
96.30%	0.00%	1	b^m	young mothers or
96.30%	0.00%	1	bk	i know
96.31%	0.00%	1	bf	just then
96.31%	0.00%	1	bf	carry all that cash with you
96.31%	0.00%	1	b	virginia
96.31%	0.00%	1	br	was what
96.31%	0.00%	1	ba	oh good idea
96.32%	0.00%	1	bf	oh you had to prime it and
96.32%	0.00%	1	b	oh does
96.32%	0.00%	1	bf	i mean these bell peppers and curry
96.32%	0.00%	1	ba	i 'll bet um
96.33%	0.00%	1	ba	i mean boy
96.33%	0.00%	1	ba	that is lucky
96.33%	0.00%	1	ba	i think that 's
96.33%	0.00%	1	br	you mean the prisons
96.33%	0.00%	1	ba	oh super
96.34%	0.00%	1	b	morocco
96.34%	0.00%	1	bf	skip this tournament
96.34%	0.00%	1	bf	no returned checks or anything
96.34%	0.00%	1	ba	now that sounds awful
96.34%	0.00%	1	b	in their own community
96.35%	0.00%	1	ba	that is very good
96.35%	0.00%	1	bf	vacation home
96.35%	0.00%	1	ba	that 's an excellent idea
96.35%	0.00%	1	bf	could n't catch one to save your life huh
96.35%	0.00%	1	ba	that 's re-
96.36%	0.00%	1	bf	adapt
96.36%	0.00%	1	ba	that 's supposed to be a real good statistic uh
96.36%	0.00%	1	ba	oh what fun
96.36%	0.00%	1	ba	um that is awful
96.37%	0.00%	1	ba	uh oh golly
96.37%	0.00%	1	bk	oh ok
96.37%	0.00%	1	ba	good planning
96.37%	0.00%	1	ba	well that that 's good
96.37%	0.00%	1	ba	that 's probably very true
96.38%	0.00%	1	ba	how lucky
96.38%	0.00%	1	ba	oh my golly
96.38%	0.00%	1	ba	um that 's that 's interesting
96.38%	0.00%	1	b	on your commodore
96.38%	0.00%	1	b	uh you know
96.39%	0.00%	1	b^m	five heartbeats
96.39%	0.00%	1	bd	well no
96.39%	0.00%	1	bf	because it 's not next day they have the start the trial it 's x number of months and just prolongs the situation that much more
96.39%	0.00%	1	bf	so you 're just really getting started
96.40%	0.00%	1	bf	well it makes you feel good when you whip out the cash instead of your plastic
96.40%	0.00%	1	ba	oh well that will be nice though
96.40%	0.00%	1	ba	oh it 's tough
96.40%	0.00%	1	b^m	eighty-six
96.40%	0.00%	1	b	does he
96.41%	0.00%	1	bf	everybody but you
96.41%	0.00%	1	bf	so you 're at the house you 're not at the plant
96.41%	0.00%	1	ba	all right great
96.41%	0.00%	1	bf	oh it d it did n't
96.41%	0.00%	1	ba	well i understand that
96.42%	0.00%	1	br	the ones that what
96.42%	0.00%	1	ba	that 's a great way
96.42%	0.00%	1	ba	so it 's not so bad
96.42%	0.00%	1	b^m	the ninety-eight
96.42%	0.00%	1	bh	is there anything missing
96.43%	0.00%	1	ba	that 'd be neat
96.43%	0.00%	1	ba	oh well yeah
96.43%	0.00%	1	bf	sort of like an exchange program
96.43%	0.00%	1	ba	wow that 's a lot for a townhouse
96.44%	0.00%	1	b^m	five
96.44%	0.00%	1	ba	that is awful
96.44%	0.00%	1	ba	amazing
96.44%	0.00%	1	bf	you mean you do n't need to wear little old house dresses any more
96.44%	0.00%	1	b	that one
96.45%	0.00%	1	ba	that 's usually pretty good
96.45%	0.00%	1	bf	have something to rebel against
96.45%	0.00%	1	bf	because that was like what he was used to
96.45%	0.00%	1	br	rolly polly what
96.45%	0.00%	1	ba	i do n't blame you not nowadays
96.46%	0.00%	1	bf	to sell the refrigerator
96.46%	0.00%	1	b^m	eat at six yeah
96.46%	0.00%	1	b^m	the fast breaks and and
96.46%	0.00%	1	bf	what what you use and and
96.46%	0.00%	1	br	lake what
96.47%	0.00%	1	bf	the smokestacks or the exhaust pipes
96.47%	0.00%	1	bh	does he ooh
96.47%	0.00%	1	bh	oh does it really
96.47%	0.00%	1	b^m	oh liberal
96.48%	0.00%	1	ba	that 's very interesting
96.48%	0.00%	1	ba	and gosh
96.48%	0.00%	1	b^m	gary gilmore
96.48%	0.00%	1	ba	a whole new world
96.48%	0.00%	1	bh	oh it is
96.49%	0.00%	1	ba	it will be neat
96.49%	0.00%	1	bk	oh wow
96.49%	0.00%	1	ba	oh oh dear
96.49%	0.00%	1	br	horses
96.49%	0.00%	1	bf	oh so the deal was that he had uh borrowed money from the bank to buy it
96.50%	0.00%	1	ba	well how fun
96.50%	0.00%	1	b^m	and the skunk
96.50%	0.00%	1	b^m	okay um
96.50%	0.00%	1	bf	so you just call him direct
96.50%	0.00%	1	b	and uh no
96.51%	0.00%	1	b	but uh
96.51%	0.00%	1	ba	oh god i 've
96.51%	0.00%	1	bf	do those little things
96.51%	0.00%	1	bf	huh well i suppose you were surprised
96.52%	0.00%	1	ba	proba- we probably will
96.52%	0.00%	1	b^m	a disturbing movie
96.52%	0.00%	1	ba	thanks a lot
96.52%	0.00%	1	ba	oh that 'll be fun
96.52%	0.00%	1	ba	well i think that 's i think that 's great
96.53%	0.00%	1	bf	so hot dogs baseball and apple pie huh
96.53%	0.00%	1	br	what hockey
96.53%	0.00%	1	bf	work
96.53%	0.00%	1	ba	that is incredible
96.53%	0.00%	1	bh	oh do n't you hate that
96.54%	0.00%	1	bf	it 's vacations christmas
96.54%	0.00%	1	bh	can you really
96.54%	0.00%	1	bf	jump at it
96.54%	0.00%	1	bf	so you have no children at all
96.54%	0.00%	1	bh	oh did you really
96.55%	0.00%	1	ba	well that sounds kind of dumb
96.55%	0.00%	1	b^m	in the bot- mumblex
96.55%	0.00%	1	ba	exact- exactly
96.55%	0.00%	1	ba	ooh yeah
96.56%	0.00%	1	ba	um gee
96.56%	0.00%	1	bf	like a cathy smith workout
96.56%	0.00%	1	ba	that will be interesting
96.56%	0.00%	1	br	that 's north
96.56%	0.00%	1	bf	oh that that you mean about the
96.57%	0.00%	1	bf	and then do it
96.57%	0.00%	1	bf	your kids
96.57%	0.00%	1	ba	and it 's it 's a very good point
96.57%	0.00%	1	ba	that sounds like fun
96.57%	0.00%	1	bf	that make a lot of difference
96.58%	0.00%	1	bd	and so you know it 's okay
96.58%	0.00%	1	ba	you 're a i think you 're right
96.58%	0.00%	1	ba	oh i love home gro grown tomatos
96.58%	0.00%	1	bf	so sounds like you like to read
96.58%	0.00%	1	b^m	how do i make use of credit cards
96.59%	0.00%	1	ba	well that helps
96.59%	0.00%	1	ba	honestly
96.59%	0.00%	1	ba	well that 's a nice way of putting it
96.59%	0.00%	1	ba	uh that 's terrible
96.60%	0.00%	1	bf	she
96.60%	0.00%	1	bf	necessary things no frivolous gifts
96.60%	0.00%	1	ba	oh that sounds pretty neat
96.60%	0.00%	1	b^m	battle cry of freedom
96.60%	0.00%	1	ba	that 's neat neat
96.61%	0.00%	1	b	schedule vacation time
96.61%	0.00%	1	bf	it 's it 's not
96.61%	0.00%	1	ba	that would be good
96.61%	0.00%	1	ba	not all
96.61%	0.00%	1	bf	boy so you you have a lot of experience as far as you know different ways a family can interact and and do things together
96.62%	0.00%	1	br	you mean your history in regards to uh
96.62%	0.00%	1	bf	more like covered dishes for those type of dinners
96.62%	0.00%	1	bf	most of the time at home
96.62%	0.00%	1	ba	it 's really neat
96.62%	0.00%	1	ba	that is kind of an idea
96.63%	0.00%	1	ba	well that sounds great
96.63%	0.00%	1	bf	well that was a real farm
96.63%	0.00%	1	ba	say that good
96.63%	0.00%	1	b	m c i
96.64%	0.00%	1	b^m	well the dark horses
96.64%	0.00%	1	ba	that 's nice out there
96.64%	0.00%	1	b^m	right here bambi
96.64%	0.00%	1	b	true
96.64%	0.00%	1	b^m	for southwest
96.65%	0.00%	1	ba	for goodness sakes
96.65%	0.00%	1	b	oh lord
96.65%	0.00%	1	ba	oh that 's wonderful though
96.65%	0.00%	1	ba	wow that 's a a big job
96.65%	0.00%	1	bf	oh by the time you get through with the uh
96.66%	0.00%	1	bf	so communications huh
96.66%	0.00%	1	ba	i understand that totally
96.66%	0.00%	1	bf	you do n't have to carry the cash
96.66%	0.00%	1	ba	oh that was good
96.66%	0.00%	1	b^m	well we stay within our means
96.67%	0.00%	1	br	oh a what
96.67%	0.00%	1	ba	i can imagine my lord
96.67%	0.00%	1	ba	that 's beautiful country up that way
96.67%	0.00%	1	bf	somebody that knows their way around
96.68%	0.00%	1	b^m	not too bad
96.68%	0.00%	1	bf	oh so you 're from the midwest too
96.68%	0.00%	1	bf	unless an employer has a reason to
96.68%	0.00%	1	ba	but uh that 's great
96.68%	0.00%	1	bf	have a law background
96.69%	0.00%	1	ba	mumblex tell me about it
96.69%	0.00%	1	bf	well so it was a completely new experience for you
96.69%	0.00%	1	ba	they 're great
96.69%	0.00%	1	b^m	in my area
96.69%	0.00%	1	ba	oh my gos-
96.70%	0.00%	1	b	and and yeah
96.70%	0.00%	1	bf	they need some attention
96.70%	0.00%	1	bk	i i see
96.70%	0.00%	1	b^m	pianos uh-huh
96.70%	0.00%	1	bf	and a lot of hassle all year round
96.71%	0.00%	1	b^m	to find it
96.71%	0.00%	1	ba	shoo i guess so
96.71%	0.00%	1	ba	now that 's good
96.71%	0.00%	1	bf	the uh the supports
96.72%	0.00%	1	b^m	every one
96.72%	0.00%	1	b	well then yes
96.72%	0.00%	1	b^m	small world
96.72%	0.00%	1	bf	if you want to
96.72%	0.00%	1	ba	oh that would
96.73%	0.00%	1	bf	so that 's too much
96.73%	0.00%	1	b	up here
96.73%	0.00%	1	b^m	eighty
96.73%	0.00%	1	ba	that 's a great position to be in
96.73%	0.00%	1	bf	it is
96.74%	0.00%	1	br	criminal courts
96.74%	0.00%	1	bd	oh that does happen
96.74%	0.00%	1	bf	what it what it is that 'll that 'll
96.74%	0.00%	1	bf	no not real spread in age
96.74%	0.00%	1	b	excuse me how did i get into it oh
96.75%	0.00%	1	bf	they ca n't do your um
96.75%	0.00%	1	bf	if they 're equipped too to handle the kind of patients you 're going to have
96.75%	0.00%	1	b	they did
96.75%	0.00%	1	bf	it 'll go through the slot
96.76%	0.00%	1	ba	she is
96.76%	0.00%	1	ba	phew
96.76%	0.00%	1	bk	new york
96.76%	0.00%	1	ba	oh that 's a problem
96.76%	0.00%	1	ba	that 's a that 's an interesting concept
96.77%	0.00%	1	ba	that 's kind of funny
96.77%	0.00%	1	ba	those are pretty
96.77%	0.00%	1	ba	oh that 's a pretty good deal
96.77%	0.00%	1	bf	i mean some of them said one way and some the other
96.77%	0.00%	1	bf	and then got to pick and choose the places
96.78%	0.00%	1	bf	he wanted new one
96.78%	0.00%	1	ba	oh my that 's ambitious
96.78%	0.00%	1	bf	you mean instead of people
96.78%	0.00%	1	bf	i mean your husband is not getting to spend as much time at home as he 'd want to
96.78%	0.00%	1	bh	is n't that nice
96.79%	0.00%	1	bf	they do n't report on every murder and shooting that happened in in every little town
96.79%	0.00%	1	bf	so they 're actually commissioned performances
96.79%	0.00%	1	bf	that much land requires an awful lot of time
96.79%	0.00%	1	bf	oh so they do n't go to school
96.80%	0.00%	1	ba	uh i can understand
96.80%	0.00%	1	b^m	it would n't have
96.80%	0.00%	1	bf	so it has the ability to do just about any type of sewing you want to do
96.80%	0.00%	1	ba	that 's right yeah
96.80%	0.00%	1	bf	so you eat all your meals out
96.81%	0.00%	1	bf	strictly your skill
96.81%	0.00%	1	ba	that would probably be good
96.81%	0.00%	1	bf	i mean y- two fold purpose
96.81%	0.00%	1	b^m	four and five
96.81%	0.00%	1	ba	i do not blame you
96.82%	0.00%	1	b^m	antibeach
96.82%	0.00%	1	br	being what
96.82%	0.00%	1	bf	and see they do that as their job whereas
96.82%	0.00%	1	bf	you figure
96.82%	0.00%	1	b	uh-oh uh-oh yeah
96.83%	0.00%	1	bf	you mean like for health insurance
96.83%	0.00%	1	ba	that 's fantastic
96.83%	0.00%	1	bf	it is hard
96.83%	0.00%	1	ba	well um that that sounds that sounds pretty good for
96.84%	0.00%	1	b^m	total gun control
96.84%	0.00%	1	bf	so like as you 're sewing the seam it 's finishing off the inside edge
96.84%	0.00%	1	ba	i i can understand
96.84%	0.00%	1	bd	um but it 's okay
96.84%	0.00%	1	bf	it might kill you to go up and
96.85%	0.00%	1	bf	with those degrees
96.85%	0.00%	1	bf	that 's critical because she 's in need of it so often
96.85%	0.00%	1	ba	well that 's it
96.85%	0.00%	1	bf	autocrossing is
96.85%	0.00%	1	ba	but that that sounds good
96.86%	0.00%	1	bf	they think it 's okay thing to do
96.86%	0.00%	1	bd	well i guess
96.86%	0.00%	1	bh	it does
96.86%	0.00%	1	ba	that 's really wonderful
96.86%	0.00%	1	bh	i know what you mean
96.87%	0.00%	1	ba	how sad
96.87%	0.00%	1	bf	saving them for you uh
96.87%	0.00%	1	bh	the dallas cowgirls huh
96.87%	0.00%	1	b^m	a dollar oh well
96.88%	0.00%	1	b^m	homes
96.88%	0.00%	1	bf	they should n't allow an appeal
96.88%	0.00%	1	ba	uh uh that 's for sure
96.88%	0.00%	1	bk	huh
96.88%	0.00%	1	b	oh lord i mean yeah
96.89%	0.00%	1	br	detroit
96.89%	0.00%	1	bf	native vietnamese people
96.89%	0.00%	1	bf	something a little extra
96.89%	0.00%	1	b^m	they did
96.89%	0.00%	1	b^m	sweating with the to the oldies
96.90%	0.00%	1	bf	a life for a life
96.90%	0.00%	1	bf	easiest way out maybe
96.90%	0.00%	1	b^m	all week
96.90%	0.00%	1	ba	that 's for sure um
96.90%	0.00%	1	ba	and they are great
96.91%	0.00%	1	bf	uh the nanny type
96.91%	0.00%	1	bf	just get grass to grow
96.91%	0.00%	1	bh	you do not think so
96.91%	0.00%	1	bh	oh was it
96.92%	0.00%	1	ba	boy what a help that is
96.92%	0.00%	1	bh	why not
96.92%	0.00%	1	bd	well just keeping up with the times that 's all
96.92%	0.00%	1	b^m	oh purdue
96.92%	0.00%	1	ba	well that 's very interesting
96.93%	0.00%	1	ba	oh lovely
96.93%	0.00%	1	ba	oh sweet
96.93%	0.00%	1	bf	that 'll cover your gifts come christmas time
96.93%	0.00%	1	b^m	inside
96.93%	0.00%	1	bf	oh so the aerobics the impact would not be good
96.94%	0.00%	1	bd	oh that 's all right
96.94%	0.00%	1	b	oh i did n't even know that
96.94%	0.00%	1	ba	that makes me feel a little better
96.94%	0.00%	1	bf	you 're talking about corpor-
96.94%	0.00%	1	bh	is n't it though
96.95%	0.00%	1	bf	some support
96.95%	0.00%	1	bf	just lucky to have jobs
96.95%	0.00%	1	b	okay leslie
96.95%	0.00%	1	bf	illegal or something like that
96.96%	0.00%	1	b	oh really i i i
96.96%	0.00%	1	bf	is is that the same way as with the aluminum cans where you go
96.96%	0.00%	1	ba	why sure
96.96%	0.00%	1	b^m	ten
96.96%	0.00%	1	ba	it must have been tough
96.97%	0.00%	1	bk	oh drywall
96.97%	0.00%	1	bh	is n't that true
96.97%	0.00%	1	b	my community
96.97%	0.00%	1	ba	it it sure does
96.97%	0.00%	1	ba	oh my uh-huh
96.98%	0.00%	1	ba	that 's true we do often times they are paid more yeah
96.98%	0.00%	1	ba	oh those people
96.98%	0.00%	1	b^m	grandmother
96.98%	0.00%	1	bf	kiss some butt
96.98%	0.00%	1	ba	that 's really awful
96.99%	0.00%	1	bf	she 's out
96.99%	0.00%	1	b	and right
96.99%	0.00%	1	bf	helps to at least set up
96.99%	0.00%	1	br	is that true
97.00%	0.00%	1	ba	well that 's pretty mumblex
97.00%	0.00%	1	ba	exactly and th-
97.00%	0.00%	1	b^m	the seville
97.00%	0.00%	1	ba	that 's pretty out there
97.00%	0.00%	1	b	interesting
97.01%	0.00%	1	bf	i gather you get a lot of telephone calls
97.01%	0.00%	1	bf	so you do n't have to you do n't have to buy the lot of the wardrobe that some of the people in banking and that kind of thing do
97.01%	0.00%	1	b^m	u n l v
97.01%	0.00%	1	bf	preparing it
97.01%	0.00%	1	bk	oh that 's what i was curious about
97.02%	0.00%	1	ba	they could be a good idea to
97.02%	0.00%	1	br	oh oh excuse me
97.02%	0.00%	1	ba	oh well great
97.02%	0.00%	1	bf	never get them at both places
97.02%	0.00%	1	ba	especially for these times
97.03%	0.00%	1	ba	crazy
97.03%	0.00%	1	b	good to hear
97.03%	0.00%	1	b^m	mile a minute
97.03%	0.00%	1	ba	oh that would be enjoyable
97.04%	0.00%	1	bf	pretty low
97.04%	0.00%	1	ba	they are beautiful homes
97.04%	0.00%	1	b^m	and two bi-
97.04%	0.00%	1	ba	well it does sound very interesting
97.04%	0.00%	1	b^m	two ninety-eight a pound
97.05%	0.00%	1	b	uh-huh uh-huh
97.05%	0.00%	1	b^m	bonus time
97.05%	0.00%	1	ba	well that 's that 's great
97.05%	0.00%	1	b^m	a white powder
97.05%	0.00%	1	ba	well see that 's another plus
97.06%	0.00%	1	ba	well that could be
97.06%	0.00%	1	b	y- yeah
97.06%	0.00%	1	b^m	gosh bear bait
97.06%	0.00%	1	bh	oh he does
97.07%	0.00%	1	bd	and that 's normal
97.07%	0.00%	1	ba	it will
97.07%	0.00%	1	bf	instead of being carried
97.07%	0.00%	1	b^m	damp
97.07%	0.00%	1	ba	well some people are n't
97.08%	0.00%	1	bf	gave you an idea of what your child
97.08%	0.00%	1	ba	um sounds good
97.08%	0.00%	1	b^m	urine screen
97.08%	0.00%	1	bf	oh so you 're close to the subject
97.08%	0.00%	1	ba	oh sounds pretty
97.09%	0.00%	1	b^m	eighteen
97.09%	0.00%	1	bf	it 's so slow that you just get bored you know
97.09%	0.00%	1	bf	you were good at it
97.09%	0.00%	1	ba	that 's the thing to do
97.09%	0.00%	1	ba	they were
97.10%	0.00%	1	ba	i bet it is gorgeous
97.10%	0.00%	1	br	uh who 's the last one
97.10%	0.00%	1	b^m	schnauzers
97.10%	0.00%	1	bf	it was n't so he-
97.11%	0.00%	1	bf	so you do uh like backpacking and the like
97.11%	0.00%	1	bk	oh quality okay
97.11%	0.00%	1	bf	oh they come up here
97.11%	0.00%	1	ba	well that 's amazing
97.11%	0.00%	1	bf	well it was a lot of money
97.12%	0.00%	1	ba	oh you do huh
97.12%	0.00%	1	ba	that 's pretty sad
97.12%	0.00%	1	ba	oh i 'm sure it is
97.12%	0.00%	1	ba	that speaks
97.12%	0.00%	1	ba	wow huh
97.13%	0.00%	1	ba	that 's very cool
97.13%	0.00%	1	ba	that 's very smart
97.13%	0.00%	1	b	oh rea-
97.13%	0.00%	1	bh	do they deserve to uh remain on this earth too
97.13%	0.00%	1	ba	well that that 's an excellent
97.14%	0.00%	1	ba	that makes sense too
97.14%	0.00%	1	br	heavenly
97.14%	0.00%	1	b^m	exterior
97.14%	0.00%	1	bf	so so they can get like the doors and led zepplin
97.15%	0.00%	1	ba	at least you 're trying something
97.15%	0.00%	1	ba	that that is interesting
97.15%	0.00%	1	bh	oh that recent
97.15%	0.00%	1	bf	many years
97.15%	0.00%	1	b	uh i see
97.16%	0.00%	1	ba	that is pretty good
97.16%	0.00%	1	b^m	a profit sharing plan
97.16%	0.00%	1	b	security number
97.16%	0.00%	1	ba	well would n't you know
97.16%	0.00%	1	bf	mumblex take the whole grass the whole yard
97.17%	0.00%	1	ba	oh my gosh just a baby
97.17%	0.00%	1	b	oh i hear
97.17%	0.00%	1	bf	and they
97.17%	0.00%	1	br	about weight
97.17%	0.00%	1	ba	oh oh i know
97.18%	0.00%	1	b^m	stay
97.18%	0.00%	1	bf	nod your head and smile at them
97.18%	0.00%	1	bf	have that
97.18%	0.00%	1	b^m	put a big cast on it
97.19%	0.00%	1	bf	on the out
97.19%	0.00%	1	ba	that 's a real good deal
97.19%	0.00%	1	b	you did
97.19%	0.00%	1	br	ninety-eight
97.19%	0.00%	1	br	that 's just what on their part
97.20%	0.00%	1	b	that
97.20%	0.00%	1	ba	oh well that sounds great
97.20%	0.00%	1	ba	i
97.20%	0.00%	1	bf	four hundred and something a year
97.20%	0.00%	1	bd	just sometimes
97.21%	0.00%	1	bf	once you 're there you 're all set though
97.21%	0.00%	1	ba	it 's good news
97.21%	0.00%	1	ba	i know what
97.21%	0.00%	1	bf	two babies
97.21%	0.00%	1	ba	it 's pretty neat
97.22%	0.00%	1	bf	melted or just wet
97.22%	0.00%	1	ba	oh wo-
97.22%	0.00%	1	ba	that 's an interesting notion
97.22%	0.00%	1	b^m	or two days
97.23%	0.00%	1	ba	oh i think that is really interesting
97.23%	0.00%	1	ba	oh well that that 's nice you know
97.23%	0.00%	1	b	in biographies
97.23%	0.00%	1	b^m	oh you are from plano
97.23%	0.00%	1	ba	i 'm sure it does
97.24%	0.00%	1	bf	because they of course if you did not have them you would be pulling from your salary of course
97.24%	0.00%	1	ba	and that 's a terrible paper
97.24%	0.00%	1	bk	you 're a sophomore
97.24%	0.00%	1	bh	oh does she really
97.24%	0.00%	1	bf	presentation
97.25%	0.00%	1	ba	that 's just great
97.25%	0.00%	1	ba	wow that 's neat that you ev- you even reach the limits of yours
97.25%	0.00%	1	bf	that 's hard
97.25%	0.00%	1	ba	oh that 's terrific
97.25%	0.00%	1	br	i am i am sorry
97.26%	0.00%	1	b^m	and there 's just no rea- i mean
97.26%	0.00%	1	bf	oh my how how long
97.26%	0.00%	1	ba	that 's got to be frustrating
97.26%	0.00%	1	ba	well that 's nice in a lot of ways
97.27%	0.00%	1	bf	i realize that you indicated you wanted to check out as much as you can about it
97.27%	0.00%	1	bf	you do n't know who you can trust
97.27%	0.00%	1	ba	i 'm telling you
97.27%	0.00%	1	ba	oh actually that 's true
97.27%	0.00%	1	ba	ooh neat
97.28%	0.00%	1	b	tahiti
